PartnerNumber,Name,Status,NewEngagement,Phone,Website,Address1Street,Address1City,Address1StateProvince,Address1PostalCode,Address1Country,ShortName,PooledFund,DDRequired,DDEACDone,EACReference,GlobalKeyAccount,UNSecretariatEntity,LevyPotentiallyApplies,ReasonForLevyNotApplying,LevyTreatment,PartnerCategory,Discriminator,CreatedBy,CreatedDate,LastModifiedBy,IsDeleted,DeletedBy
1813,CODEMGE Minas Gerais Development Company,Active,Allowed,,,,,,,,CODEMGE,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,CODEMGE Minas Gerais Development Company,UNOPSPartner,0,NOW(),0,FALSE,0
1540,Other Donors,Active,Not allowed,,,,,,,,Other Donors,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,Other Donors,UNOPSPartner,0,NOW(),0,FALSE,0
1541,Other Sponsors,Active,Not allowed,,,,,,,,Other Sponsors,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,Other Sponsors,UNOPSPartner,0,NOW(),0,FALSE,0
1586,NIC-Union Europea,Active,Not allowed,,,,,,,,NIC-Union Europea,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,NIC-Union Europea,UNOPSPartner,0,NOW(),0,FALSE,0
1819,BCBRP Meritorious Fire Department of the Republic of Panama,Active,Allowed,,,,,,,,BCBRP,No,Yes,Yes,,FALSE,FALSE,Does not apply,3c) Programme Country,,BCBRP Meritorious Fire Department of the Republic of Panama,UNOPSPartner,0,NOW(),0,FALSE,0
1815,INCAP Institute of Nutrition of Central America and Panama,Active,Allowed,,,,,,,,INCAP,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,INCAP Institute of Nutrition of Central America and Panama,UNOPSPartner,0,NOW(),0,FALSE,0
1786,IPM Instituto de Previsión Militar,Active,Allowed,,,,,,,,IPM,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,IPM Instituto de Previsión Militar,UNOPSPartner,0,NOW(),0,FALSE,0
1784,Instituto Nacional de Previsión del Magisterio INPREMA,Active,Allowed,,,,,,,,INPREMA,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,Instituto Nacional de Previsión del Magisterio INPREMA,UNOPSPartner,0,NOW(),0,FALSE,0
1735,Nippon Foundation,Active,Allowed,,,,,,,,Nippon Foundation,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,Nippon Foundation,UNOPSPartner,0,NOW(),0,FALSE,0
1759,AKF Aga Khan Foundation,Active,Allowed,,,,,,,,AKF,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,AKF Aga Khan Foundation,UNOPSPartner,0,NOW(),0,FALSE,0
1750,IDOR Instituto D'or De Pesquisa E Ensino,Active,Allowed,,,,,,,,IDOR,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,IDOR Instituto D'or De Pesquisa E Ensino,UNOPSPartner,0,NOW(),0,FALSE,0
1456,Mohammed bin Rashid Al Maktoum Foundation,Active,Allowed,,,,,,,,MBRF,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,Mohammed bin Rashid Al Maktoum Foundation,UNOPSPartner,0,NOW(),0,FALSE,0
1664,Omidyar Network,Active,Allowed,,,,,,,,Omidyar Network,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,Omidyar Network,UNOPSPartner,0,NOW(),0,FALSE,0
1598,Doen Foundation,Active,Allowed,,,,,,,,Doen Foundation,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,Doen Foundation,UNOPSPartner,0,NOW(),0,FALSE,0
1767,Wellspring Foundation,Active,Allowed,,,,,,,,Wellspring,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,Wellspring Foundation,UNOPSPartner,0,NOW(),0,FALSE,0
1722,REALL Real Equity for All,Active,Allowed,,,,,,,,REALL,No,Yes,Yes,,FALSE,FALSE,Potentially applies,,Please consult funding source,REALL Real Equity for All,UNOPSPartner,0,NOW(),0,FALSE,0
1690,Jordan River Foundation,Active,Allowed,,,,,,,,Jordan River Foundation,No,Yes,No,,FALSE,FALSE,Potentially applies,,Please consult funding source,Jordan River Foundation,UNOPSPartner,0,NOW(),0,FALSE,0
