AccountNumber,Name,LegacyFocalPointUser,LegacyOrgUnit,SuggestedFocalPoint,SuggestedOrgUnit
,UN Integrated Strategy for the Sahel (UNISS),Abdoul Aziz SOUMARE,"AFR, WAMCO, West Africa MCO",Abdoul Aziz SOUMARE,"AFR, WAMCO, West Africa MCO"
1105,KOICA Korea International Cooperation Agency,Arnaud Sgambato,"DP, PLG, Partnerships and Liaison Group",Arnaud Sgambato,"DP, PLG, Partnerships and Liaison Group"
1139,Republic of Korea,Arnaud Sgambato,"DP, PLG, Partnerships and Liaison Group",Arnaud Sgambato,"DP, PLG, Partnerships and Liaison Group"
1908,South Korea Ministry of Foreign Affairs,Arnaud Sgambato,"DP, PLG, Partnerships and Liaison Group",Arnaud Sgambato,"DP, PLG, Partnerships and Liaison Group"
1086,Ministry of Foreign Affairs of Denmark,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1087,Ministry for Foreign Affairs of Finland,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1101,NORAD Norwegian Agency for Development Cooperation,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1102,Ministry of Foreign Affairs of Norway,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1108,SIDA Swedish International Development Cooperation Agency,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1111,DFID Department For International Development,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1123,Denmark,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1124,Finland,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1136,Norway,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1144,United Kingdom of Great Britain and Northern Ireland,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1267,Sweden,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1610,British overseas territory of Anguilla,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1613,British overseas territory of Cayman Islands,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1618,British overseas territory of Montserrat,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1711,Fleming Fund,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1752,"FCDO Foreign, Commonwealth & Development Office",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1753,Ministry of Justice of Norway,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1754,SEPA Swedish Environmental Protection Agency,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1837,Norwegian Refugee Council,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1909,Sweden Ministry of Foreign Affairs,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1910,DESNZ Department for Energy Security and Net Zero,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
,"Ministry of Climate, Energy and Utilities of Denmark",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
,Carlsberg Group A/S,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
,IFU - Impact Fund Denmark,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
,Human Practice Foundation,Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group",Asbjorn Brink,"DP, PLG, Partnerships and Liaison Group"
1261,WHO World Health Organization,Louise Jocelyn LEECH,"DP, PLG, Partnerships and Liaison Group",Daniel Nicolas Elliott,"DP, PLG, Partnerships and Liaison Group"
1445,Gavi The Vaccine Alliance,Louise Jocelyn LEECH,"DP, PLG, Partnerships and Liaison Group",Daniel Nicolas Elliott,"DP, PLG, Partnerships and Liaison Group"
1448,"GFATM Global Fund to Fight AIDS, Tuberculosis and Malaria",Louise Jocelyn LEECH,"DP, PLG, Partnerships and Liaison Group",Daniel Nicolas Elliott,"DP, PLG, Partnerships and Liaison Group"
1679,GFATM-AID Global Fund to fight AIDS,Louise Jocelyn LEECH,"DP, PLG, Partnerships and Liaison Group",Daniel Nicolas Elliott,"DP, PLG, Partnerships and Liaison Group"
1680,GFATM-TUB Global Fund to fight Tuberculosis,Louise Jocelyn LEECH,"DP, PLG, Partnerships and Liaison Group",Daniel Nicolas Elliott,"DP, PLG, Partnerships and Liaison Group"
1681,GFATM-MAL Global Fund to fight Malaria,Louise Jocelyn LEECH,"DP, PLG, Partnerships and Liaison Group",Daniel Nicolas Elliott,"DP, PLG, Partnerships and Liaison Group"
1312,Kuwait,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1319,Oman,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1371,Qatar,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1395,Saudi Arabia,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1425,United Arab Emirates,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1456,Mohammed bin Rashid Al Maktoum Foundation,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1571,IsDB Islamic Development Bank,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1723,SFD Saudi Fund for Development,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1761,KSRelief King Salman Humanitarian Aid and Relief Centre,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1818,QFFD Qatar Fund for Development,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1911,Saudi Arabia Ministry of Foreign Affairs,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1912,Qatar Ministry of Foreign Affairs,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1913,United Arab Emirates Ministry of Foreign Affairs,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1914,Kuwait Ministry of Foreign Affairs,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1915,KFAED Kuwait Fund for Arab Economic Development,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1916,Oman Ministry of Foreign Affairs,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1918,SDRPY Saudi Development and Reconstruction Program for Yemen,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1919,Qatar Charity,Hala R Alsharifi,"MR, MROD, Office of the RD",Hala R Alsharifi,"DP, PLG, Partnerships and Liaison Group"
1903,France Ministry for Europe and Foreign Affairs,Laetitia Kraus,"DP, PLG, Partnerships and Liaison Group",Laetitia Kraus,"DP, PLG, Partnerships and Liaison Group"
,Camara de Comercio de Cortes,Laura GIRON MARTINEZ,"LCR, CEMCO, Honduras",Laura GIRON MARTINEZ,"LCR, CEMCO, Honduras"
,Secretaría de Relaciones Exteriores y Cooperación Internacional,Laura GIRON MARTINEZ,"LCR, CEMCO, Honduras",Laura GIRON MARTINEZ,"LCR, CEMCO, Honduras"
1183,UNHCR Office of the United Nations High Commissioner for Refugees,Laurentiu Mastacan,"DP, PLG, Partnerships and Liaison Group",Laurentiu Mastacan,"DP, PLG, Partnerships and Liaison Group"
1182,ITC International Trade Centre,Lorraine ANABTAWI,"DP, PLG, Partnerships and Liaison Group",Lorraine ANABTAWI,"DP, PLG, Partnerships and Liaison Group"
,HR services for partners,Lorraine ANABTAWI,"DP, PLG, Partnerships and Liaison Group",Lorraine ANABTAWI,"DP, PLG, Partnerships and Liaison Group"
,MONUSCO,Lorraine ANABTAWI,"DP, PLG, Partnerships and Liaison Group",Lorraine ANABTAWI,"DP, PLG, Partnerships and Liaison Group"
1025,EU DG INTPA Directorate-General for International Partnerships,Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group",Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group"
1026,"EU DG ENEST, Directorate-General for Enlargement and Eastern Neighbourhood",Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group",Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group"
1029,EU DG ECHO Directorate-General for European Civil Protection and Humanitarian Aid Operations,Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group",Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group"
1864,BMWE German Federal Ministry for Economic Affairs and Energy,Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group",Mariacarmen   COLITTI,"DP, PLG, Partnerships and Liaison Group"
